"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"Austria","AVWAGE","TOT","USD","A","2016",48295,
"Belgium","AVWAGE","TOT","USD","A","2016",49587,
"Czech Republic","AVWAGE","TOT","USD","A","2016",23722,
"Denmark","AVWAGE","TOT","USD","A","2016",52580,
"Finland","AVWAGE","TOT","USD","A","2016",42127,
"France","AVWAGE","TOT","USD","A","2016",42992,
"Germany","AVWAGE","TOT","USD","A","2016",46389,
"Greece","AVWAGE","TOT","USD","A","2016",25124,
"Hungary","AVWAGE","TOT","USD","A","2016",21711,
"Italy","AVWAGE","TOT","USD","A","2016",35397,
"Luxembourg","AVWAGE","TOT","USD","A","2016",62636,
"Netherlands","AVWAGE","TOT","USD","A","2016",52833,
"Poland","AVWAGE","TOT","USD","A","2016",25921,
"Portugal","AVWAGE","TOT","USD","A","2016",24529,
"Slovakia","AVWAGE","TOT","USD","A","2016",23508,
"Spain","AVWAGE","TOT","USD","A","2016",37333,
"Sweden","AVWAGE","TOT","USD","A","2016",42816,
"United Kingdom","AVWAGE","TOT","USD","A","2016",42835,
"Estonia","AVWAGE","TOT","USD","A","2016",23621,
"Slovenia","AVWAGE","TOT","USD","A","2016",34965,
"Latvia","AVWAGE","TOT","USD","A","2016",22389,
"Lithuania","AVWAGE","TOT","USD","A","2016",22949,
